Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
13,YESBANK,22.15,21.94,0.96,0.92,41.0,90,22.19,21.5,22.89,23.58,24.27,23.15,4.51,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
14,TRAVELFOOD,1273.5,1263.0,0.83,0.69,40.2,90,1307.61,1237.74,1377.48,1447.35,1517.22,1470.9,15.5,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
15,ANANTRAJ,588.85,584.6,0.73,0.81,39.0,90,596.04,572.91,619.17,642.3,665.43,649.0,10.21,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
16,LTF,312.8,304.5,2.73,1.34,48.6,88,313.98,298.41,329.54,345.11,360.68,327.3,4.64,"Near support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving, Above 200 DMA"
17,CREDITACC,1403.4,1348.6,4.06,1.4,37.9,88,1413.72,1321.63,1505.82,1597.91,1690.0,1575.0,12.23,"Near support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving, Above 200 DMA"
18,GODREJPROP,1970.7,1962.6,0.41,1.54,41.9,85,1974.64,1923.35,2025.93,2077.23,2128.52,2143.9,8.79,"Very close to support, Support rejection, Bullish candle, Volume spike, Above 200 DMA"
19,360ONE,1181.3,1140.0,3.62,0.79,52.8,85,1183.66,1117.2,1250.13,1316.59,1383.05,1222.9,3.52,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
20,ICICIPRULI,499.5,491.05,1.72,0.8,45.9,85,502.85,481.23,524.48,546.1,567.73,525.75,5.26,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
21,ELECON,416.6,409.05,1.85,0.89,38.7,85,419.19,400.87,437.5,455.82,474.14,459.3,10.25,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
22,SONATSOFTW,289.3,284.1,1.83,0.81,41.2,85,291.53,278.42,304.65,317.76,330.87,359.5,24.27,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
23,HOMEFIRST,1196.7,1151.9,3.89,1.07,53.3,85,1201.4,1128.86,1273.93,1346.47,1419.01,1227.9,2.61,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
24,GALLANTT,555.4,547.2,1.5,0.92,35.1,85,563.12,536.26,589.99,616.86,643.73,641.65,15.53,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
25,LEMONTREE,106.18,105.12,1.01,0.76,36.3,85,106.87,103.02,110.73,114.58,118.44,115.68,8.95,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
26,HBLENGINE,660.2,653.0,1.1,0.57,37.0,85,664.33,639.94,688.71,713.1,737.48,745.0,12.84,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
